M,C,nguesses,p,auc
32,8,2,0.1,67.13516483516483
32,8,2,0.2,78.0020202020202
32,8,2,0.3,84.418
32,8,2,0.4,87.369
32,8,2,0.5,89.12862862862863
32,8,2,0.6,90.248
32,8,2,0.7,90.998
32,8,2,0.8,91.652
32,8,2,0.9,92.595
32,8,2,1,92.687
32,8,3,0.1,74.0077081192189
32,8,3,0.2,83.67134268537075
32,8,3,0.3,87.858
32,8,3,0.4,90.065
32,8,3,0.5,91.676
32,8,3,0.6,92.347
32,8,3,0.7,92.911
32,8,3,0.8,93.248
32,8,3,0.9,93.84
32,8,3,1,94.126
32,8,4,0.1,78.81717171717172
32,8,4,0.2,87.172
32,8,4,0.3,90.521
32,8,4,0.4,91.822
32,8,4,0.5,92.654
32,8,4,0.6,93.515
32,8,4,0.7,94.053
32,8,4,0.8,94.307
32,8,4,0.9,94.521
32,8,4,1,94.824
64,1,1,0.1,89.797
64,1,1,0.2,94.448
64,1,1,0.3,96.098
64,1,1,0.4,96.96
64,1,1,0.5,97.536
64,1,1,0.6,97.846
64,1,1,0.7,98.091
64,1,1,0.8,98.25899999999999
64,1,1,0.9,98.375
64,1,1,1,98.5
64,2,1,0.1,80.23340040241449
64,2,1,0.2,89.669
64,2,1,0.3,93.098
64,2,1,0.4,94.484
64,2,1,0.5,95.503
64,2,1,0.6,96.108
64,2,1,0.7,96.562
64,2,1,0.8,96.916
64,2,1,0.9,97.231
64,2,1,1,97.456
64,2,2,0.1,89.229
64,2,2,0.2,94.408
64,2,2,0.3,95.813
64,2,2,0.4,96.584
64,2,2,0.5,97.098
64,2,2,0.6,97.304
64,2,2,0.7,97.343
64,2,2,0.8,97.424
64,2,2,0.9,97.457
64,2,2,1,97.489
64,4,1,0.1,69.08635863586359
64,4,1,0.2,80.62236710130391
64,4,1,0.3,85.977
64,4,1,0.4,89.495
64,4,1,0.5,91.396
64,4,1,0.6,93.126
64,4,1,0.7,93.798
64,4,1,0.8,94.643
64,4,1,0.9,94.806
64,4,1,1,95.44
64,4,2,0.1,81.2522658610272
64,4,2,0.2,89.306
64,4,2,0.3,92.355
64,4,2,0.4,94.234
64,4,2,0.5,94.779
64,4,2,0.6,95.571
64,4,2,0.7,95.907
64,4,2,0.8,95.943
64,4,2,0.9,96.272
64,4,2,1,96.344
64,4,3,0.1,85.6891891891892
64,4,3,0.2,92.423
64,4,3,0.3,94.445
64,4,3,0.4,95.34
64,4,3,0.5,95.804
64,4,3,0.6,96.275
64,4,3,0.7,96.531
64,4,3,0.8,96.708
64,4,3,0.9,96.868
64,4,3,1,97.019
64,4,4,0.1,88.931
64,4,4,0.2,93.889
64,4,4,0.3,95.345
64,4,4,0.4,96.043
64,4,4,0.5,96.522
64,4,4,0.6,96.723
64,4,4,0.7,96.94
64,4,4,0.8,97.093
64,4,4,0.9,97.245
64,4,4,1,97.35
64,8,1,0.1,60.97457627118644
64,8,1,0.2,68.53504928806133
64,8,1,0.3,73.79629629629629
64,8,1,0.4,79.41194331983806
64,8,1,0.5,82.58808808808809
64,8,1,0.6,85.574
64,8,1,0.7,87.212
64,8,1,0.8,88.733
64,8,1,0.9,89.774
64,8,1,1,90.42392392392392
64,8,2,0.1,68.26304347826087
64,8,2,0.2,79.27721261444557
64,8,2,0.3,85.124
64,8,2,0.4,88.005
64,8,2,0.5,90.337
64,8,2,0.6,91.46
64,8,2,0.7,92.29
64,8,2,0.8,92.671
64,8,2,0.9,93.342
64,8,2,1,93.674
64,8,3,0.1,74.3388090349076
64,8,3,0.2,84.923
64,8,3,0.3,89.231
64,8,3,0.4,91.818
64,8,3,0.5,92.147
64,8,3,0.6,93.252
64,8,3,0.7,93.923
64,8,3,0.8,94.277
64,8,3,0.9,94.802
64,8,3,1,94.994
64,8,4,0.1,79.7344064386318
64,8,4,0.2,88.156
64,8,4,0.3,91.211
64,8,4,0.4,92.825
64,8,4,0.5,93.632
64,8,4,0.6,94.53
64,8,4,0.7,94.997
64,8,4,0.8,94.961
64,8,4,0.9,95.628
64,8,4,1,95.624
128,1,1,0.1,89.89
128,1,1,0.2,94.51
128,1,1,0.3,96.268
128,1,1,0.4,97.004
128,1,1,0.5,97.483
128,1,1,0.6,97.832
128,1,1,0.7,98.124
128,1,1,0.8,98.252
128,1,1,0.9,98.379
128,1,1,1,98.5
128,2,1,0.1,79.85146022155085
128,2,1,0.2,89.497
128,2,1,0.3,92.775
128,2,1,0.4,94.643
128,2,1,0.5,95.477
128,2,1,0.6,96.163
128,2,1,0.7,96.574
128,2,1,0.8,96.953
128,2,1,0.9,97.363
128,2,1,1,97.414
128,2,2,0.1,89.719
128,2,2,0.2,94.159
128,2,2,0.3,95.775
128,2,2,0.4,96.603
128,2,2,0.5,96.969
128,2,2,0.6,97.209
128,2,2,0.7,97.41
128,2,2,0.8,97.456
128,2,2,0.9,97.463
128,2,2,1,97.49
128,4,1,0.1,67.88461538461539
128,4,1,0.2,80.2969696969697
128,4,1,0.3,86.848
128,4,1,0.4,89.295
128,4,1,0.5,91.014
128,4,1,0.6,92.63
128,4,1,0.7,93.582
128,4,1,0.8,94.494
128,4,1,0.9,94.971
128,4,1,1,95.391
128,4,2,0.1,80.73713420787084
128,4,2,0.2,89.857
128,4,2,0.3,92.822
128,4,2,0.4,93.956
128,4,2,0.5,94.921
128,4,2,0.6,95.567
128,4,2,0.7,95.814
128,4,2,0.8,96.112
128,4,2,0.9,96.438
128,4,2,1,96.43
128,4,3,0.1,85.931
128,4,3,0.2,92.845
128,4,3,0.3,94.446
128,4,3,0.4,95.413
128,4,3,0.5,95.871
128,4,3,0.6,96.38
128,4,3,0.7,96.623
128,4,3,0.8,96.741
128,4,3,0.9,96.964
128,4,3,1,97.119
128,4,4,0.1,89.125
128,4,4,0.2,93.784
128,4,4,0.3,95.353
128,4,4,0.4,96.154
128,4,4,0.5,96.58
128,4,4,0.6,96.779
128,4,4,0.7,97.029
128,4,4,0.8,97.192
128,4,4,0.9,97.332
128,4,4,1,97.426
128,8,1,0.1,59.88961038961039
128,8,1,0.2,69.26258205689278
128,8,1,0.3,74.30205128205128
128,8,1,0.4,79.1062437059416
128,8,1,0.5,83.437875751503
128,8,1,0.6,85.516
128,8,1,0.7,87.96
128,8,1,0.8,89.536
128,8,1,0.9,90.037
128,8,1,1,91.192
128,8,2,0.1,67.10826985854189
128,8,2,0.2,80.16867469879519
128,8,2,0.3,85.35
128,8,2,0.4,88.539
128,8,2,0.5,90.539
128,8,2,0.6,92.034
128,8,2,0.7,92.657
128,8,2,0.8,93.319
128,8,2,0.9,93.978
128,8,2,1,94.082
128,8,3,0.1,74.01024590163934
128,8,3,0.2,85.21271271271272
128,8,3,0.3,89.729
128,8,3,0.4,91.397
128,8,3,0.5,93.21
128,8,3,0.6,93.652
128,8,3,0.7,94.449
128,8,3,0.8,94.938
128,8,3,0.9,95.162
128,8,3,1,95.464
128,8,4,0.1,78.6075376884422
128,8,4,0.2,88.909
128,8,4,0.3,91.951
128,8,4,0.4,93.022
128,8,4,0.5,94.136
128,8,4,0.6,94.867
128,8,4,0.7,95.198
128,8,4,0.8,95.59
128,8,4,0.9,95.927
128,8,4,1,96.073
