p,auc
0.1,90.45025233328943
0.2,95.40000000091666
0.3,97.01666666666667
0.4,97.8
0.5,98.25
0.6,98.53333333333333
0.7,98.72142857142858
0.8,98.85
0.9,98.93888888888888
1,99
