trial,prob,p,P,S,alpha,lambda
87,0.9870489314770748,0.1,70,0,2,0.5
88,0.987679999333819,0.1,70,0,2,0.5
89,0.9882797743559223,0.1,70,0,2,0.5
90,0.9888497729317648,0.1,70,0,2,0.5
91,0.9893914630878814,0.1,70,0,2,0.5
92,0.9899062624790896,0.1,70,0,2,0.5
93,0.9903955363650824,0.1,70,0,2,0.5
94,0.9908605957373583,0.1,70,0,2,0.5
95,0.9913026957288064,0.1,70,0,2,0.5
96,0.9917230344075599,0.1,70,0,2,0.5
97,0.9921227520273337,0.1,70,0,2,0.5
98,0.9925029307787596,0.1,70,0,2,0.5
99,0.9928645950606556,0.1,70,0,2,0.5
100,0.9932087122670809,0.1,70,0,2,0.5
0,0,0.2,70,0,2,0.5
1,0.09999980043765555,0.2,70,0,2,0.5
2,0.1899985739754132,0.2,70,0,2,0.5
3,0.27099324577719175,0.2,70,0,2,0.5
4,0.34387612642624077,0.2,70,0,2,0.5
5,0.4094428298840149,0.2,70,0,2,0.5
6,0.4684003919066233,0.2,70,0,2,0.5
7,0.5213755912670504,0.2,70,0,2,0.5
8,0.5689235699844053,0.2,70,0,2,0.5
9,0.611538869608078,0.2,70,0,2,0.5
10,0.6496709650804511,0.2,70,0,2,0.5
11,0.6837421813721619,0.2,70,0,2,0.5
12,0.7141620255791921,0.2,70,0,2,0.5
13,0.7413325939328017,0.2,70,0,2,0.5
14,0.765644014822761,0.2,70,0,2,0.5
15,0.7874633098828464,0.2,70,0,2,0.5
16,0.8071220047126769,0.2,70,0,2,0.5
17,0.824907037392552,0.2,70,0,2,0.5
18,0.8410572493539683,0.2,70,0,2,0.5
19,0.8557654404974974,0.2,70,0,2,0.5
20,0.8691844826317252,0.2,70,0,2,0.5
21,0.8814354803923042,0.2,70,0,2,0.5
22,0.8926161896551874,0.2,70,0,2,0.5
23,0.9028084715592216,0.2,70,0,2,0.5
24,0.9120841685807861,0.2,70,0,2,0.5
25,0.9205092675218828,0.2,70,0,2,0.5
26,0.9281465127542579,0.2,70,0,2,0.5
27,0.935056774013158,0.2,70,0,2,0.5
28,0.9412995062059768,0.2,70,0,2,0.5
29,0.946932612285362,0.2,70,0,2,0.5
30,0.9520119685706848,0.2,70,0,2,0.5
31,0.9565908144217921,0.2,70,0,2,0.5
32,0.9607191535538433,0.2,70,0,2,0.5
33,0.9644432654341243,0.2,70,0,2,0.5
34,0.9678053828896825,0.2,70,0,2,0.5
35,0.9708435567385976,0.2,70,0,2,0.5
36,0.9735917005296141,0.2,70,0,2,0.5
37,0.9760797888070424,0.2,70,0,2,0.5
38,0.9783341706876478,0.2,70,0,2,0.5
39,0.9803779562323065,0.2,70,0,2,0.5
40,0.982231434775443,0.2,70,0,2,0.5
41,0.9839124903058826,0.2,70,0,2,0.5
42,0.9854369873510961,0.2,70,0,2,0.5
43,0.9868191099588426,0.2,70,0,2,0.5
44,0.9880716450067333,0.2,70,0,2,0.5
45,0.9892062083402108,0.2,70,0,2,0.5
46,0.9902334176972296,0.2,70,0,2,0.5
47,0.9911630199246765,0.2,70,0,2,0.5
48,0.9920039817808199,0.2,70,0,2,0.5
49,0.9927645539589947,0.2,70,0,2,0.5
50,0.9934523172405721,0.2,70,0,2,0.5
51,0.9940742182760655,0.2,70,0,2,0.5
52,0.9946366007488118,0.2,70,0,2,0.5
53,0.9951452358775518,0.2,70,0,2,0.5
54,0.9956053545675012,0.2,70,0,2,0.5
55,0.9960216821534575,0.2,70,0,2,0.5
56,0.9963984756549035,0.2,70,0,2,0.5
57,0.9967395627892379,0.2,70,0,2,0.5
58,0.9970483816329574,0.2,70,0,2,0.5
59,0.997328019724852,0.2,70,0,2,0.5
60,0.9975812515016702,0.2,70,0,2,0.5
61,0.9978105731759893,0.2,70,0,2,0.5
62,0.9980182344459013,0.2,70,0,2,0.5
63,0.9982062667159476,0.2,70,0,2,0.5
64,0.9983765077716623,0.2,70,0,2,0.5
65,0.9985306230631134,0.2,70,0,2,0.5
66,0.9986701239052477,0.2,70,0,2,0.5
67,0.9987963829938591,0.2,70,0,2,0.5
68,0.9989106476719145,0.2,70,0,2,0.5
69,0.9990140513724304,0.2,70,0,2,0.5
70,0.9991076236236508,0.2,70,0,2,0.5
71,0.9991922989424383,0.2,70,0,2,0.5
72,0.9992689248736829,0.2,70,0,2,0.5
73,0.9993382693660294,0.2,70,0,2,0.5
74,0.9994010276136869,0.2,70,0,2,0.5
75,0.9994578284443001,0.2,70,0,2,0.5
76,0.9995092402954796,0.2,70,0,2,0.5
77,0.9995557767974277,0.2,70,0,2,0.5
78,0.9995979019648138,0.2,70,0,2,0.5
79,0.999636034995514,0.2,70,0,2,0.5
80,0.9996705546746464,0.2,70,0,2,0.5
81,0.9997018033871424,0.2,70,0,2,0.5
82,0.9997300907488312,0.2,70,0,2,0.5
83,0.9997556968730336,0.2,70,0,2,0.5
84,0.9997788752957995,0.2,70,0,2,0.5
85,0.9997998555874855,0.2,70,0,2,0.5
86,0.9998188456810457,0.2,70,0,2,0.5
87,0.9998360339482288,0.2,70,0,2,0.5
88,0.9998515910540726,0.2,70,0,2,0.5
89,0.9998656716180288,0.2,70,0,2,0.5
90,0.999878415707148,0.2,70,0,2,0.5
91,0.9998899501834223,0.2,70,0,2,0.5
92,0.9999003899239541,0.2,70,0,2,0.5
93,0.9999098389293789,0.2,70,0,2,0.5
94,0.9999183913330945,0.2,70,0,2,0.5
95,0.99992613232144,0.2,70,0,2,0.5
96,0.9999331389730661,0.2,70,0,2,0.5
97,0.9999394810243051,0.2,70,0,2,0.5
98,0.9999452215663405,0.2,70,0,2,0.5
99,0.9999504176792969,0.2,70,0,2,0.5
100,0.9999551210079428,0.2,70,0,2,0.5
0,0,0.3,70,0,2,0.5
1,0.1499929092222706,0.3,70,0,2,0.5
2,0.27745066740595636,0.3,70,0,2,0.5
3,0.385670693662873,0.3,70,0,2,0.5
4,0.4774263579099923,0.3,70,0,2,0.5
5,0.555086159013472,0.3,70,0,2,0.5
6,0.6206589870535335,0.3,70,0,2,0.5
7,0.6758918847411466,0.3,70,0,2,0.5
8,0.7223732601365758,0.3,70,0,2,0.5
9,0.761564760684909,0.3,70,0,2,0.5
10,0.7947697288122866,0.3,70,0,2,0.5
11,0.823089997866057,0.3,70,0,2,0.5
12,0.8474085059588466,0.3,70,0,2,0.5
13,0.8684050311921558,0.3,70,0,2,0.5
14,0.8865936611284246,0.3,70,0,2,0.5
15,0.902366732621662,0.3,70,0,2,0.5
16,0.9160341922173898,0.3,70,0,2,0.5
17,0.9278532411477259,0.3,70,0,2,0.5
18,0.9380476218457061,0.3,70,0,2,0.5
19,0.9468183405604215,0.3,70,0,2,0.5
20,0.9543484531987628,0.3,70,0,2,0.5
21,0.9608044200201589,0.3,70,0,2,0.5
22,0.9663359737118071,0.3,70,0,2,0.5
23,0.9710757721106346,0.3,70,0,2,0.5
24,0.9751395024048556,0.3,70,0,2,0.5
25,0.9786266498581284,0.3,70,0,2,0.5
26,0.9816218587835543,0.3,70,0,2,0.5
27,0.9841966761183358,0.3,70,0,2,0.5
28,0.986411439372447,0.3,70,0,2,0.5
29,0.9883171080355414,0.3,70,0,2,0.5
30,0.9899569036972127,0.3,70,0,2,0.5
31,0.9913676926712929,0.3,70,0,2,0.5
32,0.9925811005188311,0.3,70,0,2,0.5
33,0.9936243845989535,0.3,70,0,2,0.5
34,0.9945211091442417,0.3,70,0,2,0.5
35,0.9952916713635952,0.3,70,0,2,0.5
36,0.9959537218816475,0.3,70,0,2,0.5
37,0.996522513200383,0.3,70,0,2,0.5
38,0.9970111994111596,0.3,70,0,2,0.5
39,0.9974311013102629,0.3,70,0,2,0.5
40,0.9977919443768973,0.3,70,0,2,0.5
41,0.998102072872931,0.3,70,0,2,0.5
42,0.9983686412105813,0.3,70,0,2,0.5
43,0.9985977830848957,0.3,70,0,2,0.5
44,0.998794759060322,0.3,70,0,2,0.5
45,0.9989640838343621,0.3,70,0,2,0.5
46,0.9991096349410267,0.3,70,0,2,0.5
47,0.9992347450247429,0.3,70,0,2,0.5
48,0.9993422799555732,0.3,70,0,2,0.5
49,0.9994347049912023,0.3,70,0,2,0.5
50,0.9995141409804174,0.3,70,0,2,0.5
51,0.9995824123154572,0.3,70,0,2,0.5
52,0.9996410880355245,0.3,70,0,2,0.5
53,0.9996915172019559,0.3,70,0,2,0.5
54,0.9997348594292035,0.3,70,0,2,0.5
55,0.9997721112716088,0.3,70,0,2,0.5
56,0.9998041290301772,0.3,70,0,2,0.5
57,0.9998316484469233,0.3,70,0,2,0.5
58,0.9998553016859667,0.3,70,0,2,0.5
59,0.9998756319505446,0.3,70,0,2,0.5
60,0.999893106045811,0.3,70,0,2,0.5
61,0.9999081251636529,0.3,70,0,2,0.5
62,0.9999210341349506,0.3,70,0,2,0.5
63,0.9999321293655801,0.3,70,0,2,0.5
64,0.9999416656448713,0.3,70,0,2,0.5
65,0.9999498619895454,0.3,70,0,2,0.5
66,0.9999569066627958,0.3,70,0,2,0.5
67,0.9999629614874757,0.3,70,0,2,0.5
68,0.9999681655544306,0.3,70,0,2,0.5
69,0.9999726384117672,0.3,70,0,2,0.5
70,0.99997648280805,0.3,70,0,2,0.5
71,0.9999797870517309,0.3,70,0,2,0.5
72,0.9999826270401949,0.3,70,0,2,0.5
73,0.9999850680043179,0.3,70,0,2,0.5
74,0.9999871660080926,0.3,70,0,2,0.5
75,0.9999889692374723,0.3,70,0,2,0.5
76,0.9999905191079085,0.3,70,0,2,0.5
77,0.9999918512160287,0.3,70,0,2,0.5
78,0.9999929961573815,0.3,70,0,2,0.5
79,0.9999939802291287,0.3,70,0,2,0.5
80,0.9999948260339149,0.3,70,0,2,0.5
81,0.9999955529988539,0.3,70,0,2,0.5
82,0.9999961778215964,0.3,70,0,2,0.5
83,0.9999967148537446,0.3,70,0,2,0.5
84,0.9999971764304258,0.3,70,0,2,0.5
85,0.9999975731535866,0.3,70,0,2,0.5
86,0.9999979141355045,0.3,70,0,2,0.5
87,0.9999982072080984,0.3,70,0,2,0.5
88,0.9999984591028368,0.3,70,0,2,0.5
89,0.9999986756053689,0.3,70,0,2,0.5
90,0.9999988616884278,0.3,70,0,2,0.5
91,0.9999990216260557,0.3,70,0,2,0.5
92,0.9999991590917789,0.3,70,0,2,0.5
93,0.9999992772429832,0.3,70,0,2,0.5
94,0.9999993787934341,0.3,70,0,2,0.5
95,0.9999994660756062,0.3,70,0,2,0.5
96,0.9999995410942539,0.3,70,0,2,0.5
97,0.9999996055724569,0.3,70,0,2,0.5
98,0.9999996609911952,0.3,70,0,2,0.5
99,0.9999997086233641,0.3,70,0,2,0.5
100,0.9999997495630114,0.3,70,0,2,0.5
0,0,0.4,70,0,2,0.5
1,0.1998972544972435,0.4,70,0,2,0.5
2,0.35947592634664516,0.4,70,0,2,0.5
3,0.4865735100912484,0.4,70,0,2,0.5
4,0.5877287673808127,0.4,70,0,2,0.5
5,0.6679792789618383,0.4,70,0,2,0.5
6,0.731540609908609,0.4,70,0,2,0.5
