trial,p,M,C,nguesses,prob
81,0.2,8,1,1,1
82,0.2,8,1,1,1
83,0.2,8,1,1,1
84,0.2,8,1,1,1
85,0.2,8,1,1,1
86,0.2,8,1,1,1
87,0.2,8,1,1,1
88,0.2,8,1,1,1
89,0.2,8,1,1,1
90,0.2,8,1,1,1
91,0.2,8,1,1,1
92,0.2,8,1,1,1
93,0.2,8,1,1,1
94,0.2,8,1,1,1
95,0.2,8,1,1,1
96,0.2,8,1,1,1
97,0.2,8,1,1,1
98,0.2,8,1,1,1
99,0.2,8,1,1,1
100,0.2,8,1,1,1
1,0.3,8,1,1,0
2,0.3,8,1,1,0.304
3,0.3,8,1,1,0.499
4,0.3,8,1,1,0.647
5,0.3,8,1,1,0.749
6,0.3,8,1,1,0.816
7,0.3,8,1,1,0.878
8,0.3,8,1,1,0.92
9,0.3,8,1,1,0.939
10,0.3,8,1,1,0.964
11,0.3,8,1,1,0.983
12,0.3,8,1,1,0.99
13,0.3,8,1,1,0.993
14,0.3,8,1,1,0.996
15,0.3,8,1,1,0.997
16,0.3,8,1,1,0.998
17,0.3,8,1,1,0.998
18,0.3,8,1,1,1
19,0.3,8,1,1,1
20,0.3,8,1,1,1
21,0.3,8,1,1,1
22,0.3,8,1,1,1
23,0.3,8,1,1,1
24,0.3,8,1,1,1
25,0.3,8,1,1,1
26,0.3,8,1,1,1
27,0.3,8,1,1,1
28,0.3,8,1,1,1
29,0.3,8,1,1,1
30,0.3,8,1,1,1
31,0.3,8,1,1,1
32,0.3,8,1,1,1
33,0.3,8,1,1,1
34,0.3,8,1,1,1
35,0.3,8,1,1,1
36,0.3,8,1,1,1
37,0.3,8,1,1,1
38,0.3,8,1,1,1
39,0.3,8,1,1,1
40,0.3,8,1,1,1
41,0.3,8,1,1,1
42,0.3,8,1,1,1
43,0.3,8,1,1,1
44,0.3,8,1,1,1
45,0.3,8,1,1,1
46,0.3,8,1,1,1
47,0.3,8,1,1,1
48,0.3,8,1,1,1
49,0.3,8,1,1,1
50,0.3,8,1,1,1
51,0.3,8,1,1,1
52,0.3,8,1,1,1
53,0.3,8,1,1,1
54,0.3,8,1,1,1
55,0.3,8,1,1,1
56,0.3,8,1,1,1
57,0.3,8,1,1,1
58,0.3,8,1,1,1
59,0.3,8,1,1,1
60,0.3,8,1,1,1
61,0.3,8,1,1,1
62,0.3,8,1,1,1
63,0.3,8,1,1,1
64,0.3,8,1,1,1
65,0.3,8,1,1,1
66,0.3,8,1,1,1
67,0.3,8,1,1,1
68,0.3,8,1,1,1
69,0.3,8,1,1,1
70,0.3,8,1,1,1
71,0.3,8,1,1,1
72,0.3,8,1,1,1
73,0.3,8,1,1,1
74,0.3,8,1,1,1
75,0.3,8,1,1,1
76,0.3,8,1,1,1
77,0.3,8,1,1,1
78,0.3,8,1,1,1
79,0.3,8,1,1,1
80,0.3,8,1,1,1
81,0.3,8,1,1,1
82,0.3,8,1,1,1
83,0.3,8,1,1,1
84,0.3,8,1,1,1
85,0.3,8,1,1,1
86,0.3,8,1,1,1
87,0.3,8,1,1,1
88,0.3,8,1,1,1
89,0.3,8,1,1,1
90,0.3,8,1,1,1
91,0.3,8,1,1,1
92,0.3,8,1,1,1
93,0.3,8,1,1,1
94,0.3,8,1,1,1
95,0.3,8,1,1,1
96,0.3,8,1,1,1
97,0.3,8,1,1,1
98,0.3,8,1,1,1
99,0.3,8,1,1,1
100,0.3,8,1,1,1
1,0.4,8,1,1,0
2,0.4,8,1,1,0.403
3,0.4,8,1,1,0.65
4,0.4,8,1,1,0.794
5,0.4,8,1,1,0.877
6,0.4,8,1,1,0.926
7,0.4,8,1,1,0.964
8,0.4,8,1,1,0.984
9,0.4,8,1,1,0.991
10,0.4,8,1,1,0.995
11,0.4,8,1,1,0.996
12,0.4,8,1,1,0.997
13,0.4,8,1,1,0.998
14,0.4,8,1,1,0.999
15,0.4,8,1,1,1
16,0.4,8,1,1,1
17,0.4,8,1,1,1
18,0.4,8,1,1,1
19,0.4,8,1,1,1
20,0.4,8,1,1,1
21,0.4,8,1,1,1
22,0.4,8,1,1,1
23,0.4,8,1,1,1
24,0.4,8,1,1,1
25,0.4,8,1,1,1
26,0.4,8,1,1,1
27,0.4,8,1,1,1
28,0.4,8,1,1,1
29,0.4,8,1,1,1
30,0.4,8,1,1,1
31,0.4,8,1,1,1
32,0.4,8,1,1,1
33,0.4,8,1,1,1
34,0.4,8,1,1,1
35,0.4,8,1,1,1
36,0.4,8,1,1,1
37,0.4,8,1,1,1
38,0.4,8,1,1,1
39,0.4,8,1,1,1
40,0.4,8,1,1,1
41,0.4,8,1,1,1
42,0.4,8,1,1,1
43,0.4,8,1,1,1
44,0.4,8,1,1,1
45,0.4,8,1,1,1
46,0.4,8,1,1,1
47,0.4,8,1,1,1
48,0.4,8,1,1,1
49,0.4,8,1,1,1
50,0.4,8,1,1,1
51,0.4,8,1,1,1
52,0.4,8,1,1,1
53,0.4,8,1,1,1
54,0.4,8,1,1,1
55,0.4,8,1,1,1
56,0.4,8,1,1,1
57,0.4,8,1,1,1
58,0.4,8,1,1,1
59,0.4,8,1,1,1
60,0.4,8,1,1,1
61,0.4,8,1,1,1
62,0.4,8,1,1,1
63,0.4,8,1,1,1
64,0.4,8,1,1,1
65,0.4,8,1,1,1
66,0.4,8,1,1,1
67,0.4,8,1,1,1
68,0.4,8,1,1,1
69,0.4,8,1,1,1
70,0.4,8,1,1,1
71,0.4,8,1,1,1
72,0.4,8,1,1,1
73,0.4,8,1,1,1
74,0.4,8,1,1,1
75,0.4,8,1,1,1
76,0.4,8,1,1,1
77,0.4,8,1,1,1
78,0.4,8,1,1,1
79,0.4,8,1,1,1
80,0.4,8,1,1,1
81,0.4,8,1,1,1
82,0.4,8,1,1,1
83,0.4,8,1,1,1
84,0.4,8,1,1,1
85,0.4,8,1,1,1
86,0.4,8,1,1,1
87,0.4,8,1,1,1
88,0.4,8,1,1,1
89,0.4,8,1,1,1
90,0.4,8,1,1,1
91,0.4,8,1,1,1
92,0.4,8,1,1,1
93,0.4,8,1,1,1
94,0.4,8,1,1,1
95,0.4,8,1,1,1
96,0.4,8,1,1,1
97,0.4,8,1,1,1
98,0.4,8,1,1,1
99,0.4,8,1,1,1
100,0.4,8,1,1,1
1,0.5,8,1,1,0
2,0.5,8,1,1,0.502
3,0.5,8,1,1,0.749
4,0.5,8,1,1,0.894
5,0.5,8,1,1,0.943
6,0.5,8,1,1,0.967
7,0.5,8,1,1,0.981
8,0.5,8,1,1,0.99
9,0.5,8,1,1,0.995
10,0.5,8,1,1,0.998
11,0.5,8,1,1,1
12,0.5,8,1,1,1
13,0.5,8,1,1,1
14,0.5,8,1,1,1
15,0.5,8,1,1,1
16,0.5,8,1,1,1
17,0.5,8,1,1,1
18,0.5,8,1,1,1
19,0.5,8,1,1,1
20,0.5,8,1,1,1
21,0.5,8,1,1,1
22,0.5,8,1,1,1
23,0.5,8,1,1,1
24,0.5,8,1,1,1
25,0.5,8,1,1,1
26,0.5,8,1,1,1
27,0.5,8,1,1,1
28,0.5,8,1,1,1
29,0.5,8,1,1,1
30,0.5,8,1,1,1
31,0.5,8,1,1,1
32,0.5,8,1,1,1
33,0.5,8,1,1,1
34,0.5,8,1,1,1
35,0.5,8,1,1,1
36,0.5,8,1,1,1
37,0.5,8,1,1,1
38,0.5,8,1,1,1
39,0.5,8,1,1,1
40,0.5,8,1,1,1
41,0.5,8,1,1,1
42,0.5,8,1,1,1
43,0.5,8,1,1,1
44,0.5,8,1,1,1
45,0.5,8,1,1,1
46,0.5,8,1,1,1
47,0.5,8,1,1,1
48,0.5,8,1,1,1
49,0.5,8,1,1,1
50,0.5,8,1,1,1
51,0.5,8,1,1,1
52,0.5,8,1,1,1
53,0.5,8,1,1,1
54,0.5,8,1,1,1
55,0.5,8,1,1,1
56,0.5,8,1,1,1
57,0.5,8,1,1,1
58,0.5,8,1,1,1
59,0.5,8,1,1,1
60,0.5,8,1,1,1
61,0.5,8,1,1,1
62,0.5,8,1,1,1
63,0.5,8,1,1,1
64,0.5,8,1,1,1
65,0.5,8,1,1,1
66,0.5,8,1,1,1
67,0.5,8,1,1,1
68,0.5,8,1,1,1
69,0.5,8,1,1,1
70,0.5,8,1,1,1
71,0.5,8,1,1,1
72,0.5,8,1,1,1
73,0.5,8,1,1,1
74,0.5,8,1,1,1
75,0.5,8,1,1,1
76,0.5,8,1,1,1
77,0.5,8,1,1,1
78,0.5,8,1,1,1
79,0.5,8,1,1,1
80,0.5,8,1,1,1
81,0.5,8,1,1,1
82,0.5,8,1,1,1
83,0.5,8,1,1,1
84,0.5,8,1,1,1
85,0.5,8,1,1,1
86,0.5,8,1,1,1
87,0.5,8,1,1,1
88,0.5,8,1,1,1
89,0.5,8,1,1,1
90,0.5,8,1,1,1
91,0.5,8,1,1,1
92,0.5,8,1,1,1
93,0.5,8,1,1,1
94,0.5,8,1,1,1
95,0.5,8,1,1,1
96,0.5,8,1,1,1
97,0.5,8,1,1,1
98,0.5,8,1,1,1
99,0.5,8,1,1,1
100,0.5,8,1,1,1
1,0.6,8,1,1,0
2,0.6,8,1,1,0.614
3,0.6,8,1,1,0.851
4,0.6,8,1,1,0.954
5,0.6,8,1,1,0.986
6,0.6,8,1,1,0.996
7,0.6,8,1,1,0.997
8,0.6,8,1,1,0.999
9,0.6,8,1,1,1
10,0.6,8,1,1,1
11,0.6,8,1,1,1
12,0.6,8,1,1,1
13,0.6,8,1,1,1
14,0.6,8,1,1,1
15,0.6,8,1,1,1
16,0.6,8,1,1,1
17,0.6,8,1,1,1
18,0.6,8,1,1,1
19,0.6,8,1,1,1
20,0.6,8,1,1,1
21,0.6,8,1,1,1
22,0.6,8,1,1,1
23,0.6,8,1,1,1
24,0.6,8,1,1,1
25,0.6,8,1,1,1
26,0.6,8,1,1,1
27,0.6,8,1,1,1
28,0.6,8,1,1,1
29,0.6,8,1,1,1
30,0.6,8,1,1,1
31,0.6,8,1,1,1
32,0.6,8,1,1,1
33,0.6,8,1,1,1
34,0.6,8,1,1,1
35,0.6,8,1,1,1
36,0.6,8,1,1,1
37,0.6,8,1,1,1
38,0.6,8,1,1,1
39,0.6,8,1,1,1
40,0.6,8,1,1,1
41,0.6,8,1,1,1
42,0.6,8,1,1,1
43,0.6,8,1,1,1
44,0.6,8,1,1,1
45,0.6,8,1,1,1
46,0.6,8,1,1,1
47,0.6,8,1,1,1
48,0.6,8,1,1,1
49,0.6,8,1,1,1
50,0.6,8,1,1,1
51,0.6,8,1,1,1
52,0.6,8,1,1,1
53,0.6,8,1,1,1
54,0.6,8,1,1,1
55,0.6,8,1,1,1
56,0.6,8,1,1,1
57,0.6,8,1,1,1
58,0.6,8,1,1,1
59,0.6,8,1,1,1
60,0.6,8,1,1,1
61,0.6,8,1,1,1
62,0.6,8,1,1,1
63,0.6,8,1,1,1
64,0.6,8,1,1,1
65,0.6,8,1,1,1
66,0.6,8,1,1,1
67,0.6,8,1,1,1
68,0.6,8,1,1,1
69,0.6,8,1,1,1
70,0.6,8,1,1,1
71,0.6,8,1,1,1
72,0.6,8,1,1,1
73,0.6,8,1,1,1
74,0.6,8,1,1,1
75,0.6,8,1,1,1
76,0.6,8,1,1,1
77,0.6,8,1,1,1
78,0.6,8,1,1,1
79,0.6,8,1,1,1
80,0.6,8,1,1,1
81,0.6,8,1,1,1
82,0.6,8,1,1,1
83,0.6,8,1,1,1
84,0.6,8,1,1,1
85,0.6,8,1,1,1
86,0.6,8,1,1,1
87,0.6,8,1,1,1
88,0.6,8,1,1,1
89,0.6,8,1,1,1
90,0.6,8,1,1,1
91,0.6,8,1,1,1
92,0.6,8,1,1,1
93,0.6,8,1,1,1
94,0.6,8,1,1,1
95,0.6,8,1,1,1
96,0.6,8,1,1,1
97,0.6,8,1,1,1
98,0.6,8,1,1,1
99,0.6,8,1,1,1
100,0.6,8,1,1,1
1,0.7,8,1,1,0
2,0.7,8,1,1,0.668
3,0.7,8,1,1,0.897
4,0.7,8,1,1,0.9700000000000001
5,0.7,8,1,1,0.992
6,0.7,8,1,1,0.996
7,0.7,8,1,1,1
8,0.7,8,1,1,1
9,0.7,8,1,1,1
10,0.7,8,1,1,1
11,0.7,8,1,1,1
12,0.7,8,1,1,1
13,0.7,8,1,1,1
14,0.7,8,1,1,1
15,0.7,8,1,1,1
16,0.7,8,1,1,1
17,0.7,8,1,1,1
18,0.7,8,1,1,1
19,0.7,8,1,1,1
20,0.7,8,1,1,1
21,0.7,8,1,1,1
22,0.7,8,1,1,1
23,0.7,8,1,1,1
24,0.7,8,1,1,1
25,0.7,8,1,1,1
26,0.7,8,1,1,1
27,0.7,8,1,1,1
28,0.7,8,1,1,1
29,0.7,8,1,1,1
30,0.7,8,1,1,1
31,0.7,8,1,1,1
32,0.7,8,1,1,1
33,0.7,8,1,1,1
34,0.7,8,1,1,1
35,0.7,8,1,1,1
36,0.7,8,1,1,1
37,0.7,8,1,1,1
38,0.7,8,1,1,1
39,0.7,8,1,1,1
40,0.7,8,1,1,1
41,0.7,8,1,1,1
42,0.7,8,1,1,1
43,0.7,8,1,1,1
44,0.7,8,1,1,1
45,0.7,8,1,1,1
46,0.7,8,1,1,1
47,0.7,8,1,1,1
48,0.7,8,1,1,1
49,0.7,8,1,1,1
50,0.7,8,1,1,1
51,0.7,8,1,1,1
52,0.7,8,1,1,1
53,0.7,8,1,1,1
54,0.7,8,1,1,1
55,0.7,8,1,1,1
56,0.7,8,1,1,1
57,0.7,8,1,1,1
58,0.7,8,1,1,1
59,0.7,8,1,1,1
60,0.7,8,1,1,1
61,0.7,8,1,1,1
62,0.7,8,1,1,1
63,0.7,8,1,1,1
64,0.7,8,1,1,1
65,0.7,8,1,1,1
66,0.7,8,1,1,1
67,0.7,8,1,1,1
68,0.7,8,1,1,1
69,0.7,8,1,1,1
70,0.7,8,1,1,1
71,0.7,8,1,1,1
72,0.7,8,1,1,1
73,0.7,8,1,1,1
74,0.7,8,1,1,1
75,0.7,8,1,1,1
76,0.7,8,1,1,1
77,0.7,8,1,1,1
78,0.7,8,1,1,1
79,0.7,8,1,1,1
80,0.7,8,1,1,1
81,0.7,8,1,1,1
82,0.7,8,1,1,1
83,0.7,8,1,1,1
84,0.7,8,1,1,1
85,0.7,8,1,1,1
86,0.7,8,1,1,1
87,0.7,8,1,1,1
88,0.7,8,1,1,1
89,0.7,8,1,1,1
90,0.7,8,1,1,1
91,0.7,8,1,1,1
92,0.7,8,1,1,1
93,0.7,8,1,1,1
94,0.7,8,1,1,1
95,0.7,8,1,1,1
96,0.7,8,1,1,1
97,0.7,8,1,1,1
98,0.7,8,1,1,1
99,0.7,8,1,1,1
100,0.7,8,1,1,1
1,0.8,8,1,1,0
2,0.8,8,1,1,0.797
3,0.8,8,1,1,0.9660000000000001
4,0.8,8,1,1,0.996
5,0.8,8,1,1,1
6,0.8,8,1,1,1
7,0.8,8,1,1,1
8,0.8,8,1,1,1
9,0.8,8,1,1,1
10,0.8,8,1,1,1
11,0.8,8,1,1,1
12,0.8,8,1,1,1
13,0.8,8,1,1,1
14,0.8,8,1,1,1
15,0.8,8,1,1,1
16,0.8,8,1,1,1
17,0.8,8,1,1,1
18,0.8,8,1,1,1
19,0.8,8,1,1,1
20,0.8,8,1,1,1
21,0.8,8,1,1,1
22,0.8,8,1,1,1
23,0.8,8,1,1,1
24,0.8,8,1,1,1
25,0.8,8,1,1,1
26,0.8,8,1,1,1
27,0.8,8,1,1,1
28,0.8,8,1,1,1
29,0.8,8,1,1,1
30,0.8,8,1,1,1
31,0.8,8,1,1,1
32,0.8,8,1,1,1
33,0.8,8,1,1,1
34,0.8,8,1,1,1
35,0.8,8,1,1,1
36,0.8,8,1,1,1
37,0.8,8,1,1,1
38,0.8,8,1,1,1
39,0.8,8,1,1,1
40,0.8,8,1,1,1
41,0.8,8,1,1,1
42,0.8,8,1,1,1
43,0.8,8,1,1,1
44,0.8,8,1,1,1
45,0.8,8,1,1,1
46,0.8,8,1,1,1
47,0.8,8,1,1,1
48,0.8,8,1,1,1
49,0.8,8,1,1,1
50,0.8,8,1,1,1
51,0.8,8,1,1,1
52,0.8,8,1,1,1
53,0.8,8,1,1,1
54,0.8,8,1,1,1
55,0.8,8,1,1,1
56,0.8,8,1,1,1
57,0.8,8,1,1,1
58,0.8,8,1,1,1
59,0.8,8,1,1,1
60,0.8,8,1,1,1
61,0.8,8,1,1,1
62,0.8,8,1,1,1
63,0.8,8,1,1,1
64,0.8,8,1,1,1
65,0.8,8,1,1,1
66,0.8,8,1,1,1
67,0.8,8,1,1,1
68,0.8,8,1,1,1
69,0.8,8,1,1,1
70,0.8,8,1,1,1
71,0.8,8,1,1,1
72,0.8,8,1,1,1
73,0.8,8,1,1,1
74,0.8,8,1,1,1
75,0.8,8,1,1,1
76,0.8,8,1,1,1
77,0.8,8,1,1,1
78,0.8,8,1,1,1
79,0.8,8,1,1,1
80,0.8,8,1,1,1
81,0.8,8,1,1,1
82,0.8,8,1,1,1
83,0.8,8,1,1,1
84,0.8,8,1,1,1
85,0.8,8,1,1,1
86,0.8,8,1,1,1
87,0.8,8,1,1,1
88,0.8,8,1,1,1
89,0.8,8,1,1,1
90,0.8,8,1,1,1
91,0.8,8,1,1,1
92,0.8,8,1,1,1
93,0.8,8,1,1,1
94,0.8,8,1,1,1
95,0.8,8,1,1,1
96,0.8,8,1,1,1
97,0.8,8,1,1,1
98,0.8,8,1,1,1
99,0.8,8,1,1,1
100,0.8,8,1,1,1
1,0.9,8,1,1,0
2,0.9,8,1,1,0.899
3,0.9,8,1,1,0.992
4,0.9,8,1,1,1
5,0.9,8,1,1,1
6,0.9,8,1,1,1
7,0.9,8,1,1,1
8,0.9,8,1,1,1
9,0.9,8,1,1,1
10,0.9,8,1,1,1
11,0.9,8,1,1,1
12,0.9,8,1,1,1
13,0.9,8,1,1,1
14,0.9,8,1,1,1
15,0.9,8,1,1,1
16,0.9,8,1,1,1
17,0.9,8,1,1,1
18,0.9,8,1,1,1
19,0.9,8,1,1,1
20,0.9,8,1,1,1
21,0.9,8,1,1,1
22,0.9,8,1,1,1
23,0.9,8,1,1,1
24,0.9,8,1,1,1
25,0.9,8,1,1,1
26,0.9,8,1,1,1
27,0.9,8,1,1,1
28,0.9,8,1,1,1
29,0.9,8,1,1,1
30,0.9,8,1,1,1
31,0.9,8,1,1,1
32,0.9,8,1,1,1
33,0.9,8,1,1,1
34,0.9,8,1,1,1
35,0.9,8,1,1,1
36,0.9,8,1,1,1
37,0.9,8,1,1,1
38,0.9,8,1,1,1
39,0.9,8,1,1,1
40,0.9,8,1,1,1
41,0.9,8,1,1,1
42,0.9,8,1,1,1
43,0.9,8,1,1,1
44,0.9,8,1,1,1
45,0.9,8,1,1,1
46,0.9,8,1,1,1
47,0.9,8,1,1,1
48,0.9,8,1,1,1
49,0.9,8,1,1,1
50,0.9,8,1,1,1
51,0.9,8,1,1,1
52,0.9,8,1,1,1
53,0.9,8,1,1,1
54,0.9,8,1,1,1
55,0.9,8,1,1,1
56,0.9,8,1,1,1
57,0.9,8,1,1,1
58,0.9,8,1,1,1
59,0.9,8,1,1,1
60,0.9,8,1,1,1
61,0.9,8,1,1,1
62,0.9,8,1,1,1
63,0.9,8,1,1,1
64,0.9,8,1,1,1
65,0.9,8,1,1,1
66,0.9,8,1,1,1
67,0.9,8,1,1,1
68,0.9,8,1,1,1
69,0.9,8,1,1,1
70,0.9,8,1,1,1
71,0.9,8,1,1,1
72,0.9,8,1,1,1
73,0.9,8,1,1,1
74,0.9,8,1,1,1
75,0.9,8,1,1,1
76,0.9,8,1,1,1
77,0.9,8,1,1,1
78,0.9,8,1,1,1
79,0.9,8,1,1,1
80,0.9,8,1,1,1
81,0.9,8,1,1,1
82,0.9,8,1,1,1
83,0.9,8,1,1,1
84,0.9,8,1,1,1
85,0.9,8,1,1,1
86,0.9,8,1,1,1
87,0.9,8,1,1,1
88,0.9,8,1,1,1
89,0.9,8,1,1,1
90,0.9,8,1,1,1
91,0.9,8,1,1,1
92,0.9,8,1,1,1
93,0.9,8,1,1,1
94,0.9,8,1,1,1
95,0.9,8,1,1,1
96,0.9,8,1,1,1
97,0.9,8,1,1,1
98,0.9,8,1,1,1
99,0.9,8,1,1,1
100,0.9,8,1,1,1
1,1,8,1,1,0
2,1,8,1,1,1
3,1,8,1,1,1
4,1,8,1,1,1
5,1,8,1,1,1
6,1,8,1,1,1
7,1,8,1,1,1
8,1,8,1,1,1
9,1,8,1,1,1
10,1,8,1,1,1
11,1,8,1,1,1
12,1,8,1,1,1
13,1,8,1,1,1
14,1,8,1,1,1
15,1,8,1,1,1
16,1,8,1,1,1
17,1,8,1,1,1
18,1,8,1,1,1
19,1,8,1,1,1
20,1,8,1,1,1
21,1,8,1,1,1
22,1,8,1,1,1
23,1,8,1,1,1
24,1,8,1,1,1
25,1,8,1,1,1
26,1,8,1,1,1
27,1,8,1,1,1
28,1,8,1,1,1
29,1,8,1,1,1
30,1,8,1,1,1
31,1,8,1,1,1
32,1,8,1,1,1
33,1,8,1,1,1
34,1,8,1,1,1
35,1,8,1,1,1
36,1,8,1,1,1
37,1,8,1,1,1
38,1,8,1,1,1
39,1,8,1,1,1
40,1,8,1,1,1
41,1,8,1,1,1
42,1,8,1,1,1
43,1,8,1,1,1
44,1,8,1,1,1
45,1,8,1,1,1
46,1,8,1,1,1
47,1,8,1,1,1
48,1,8,1,1,1
49,1,8,1,1,1
50,1,8,1,1,1
51,1,8,1,1,1
52,1,8,1,1,1
53,1,8,1,1,1
54,1,8,1,1,1
55,1,8,1,1,1
56,1,8,1,1,1
57,1,8,1,1,1
58,1,8,1,1,1
59,1,8,1,1,1
60,1,8,1,1,1
61,1,8,1,1,1
62,1,8,1,1,1
63,1,8,1,1,1
64,1,8,1,1,1
65,1,8,1,1,1
66,1,8,1,1,1
67,1,8,1,1,1
68,1,8,1,1,1
69,1,8,1,1,1
70,1,8,1,1,1
71,1,8,1,1,1
72,1,8,1,1,1
73,1,8,1,1,1
74,1,8,1,1,1
75,1,8,1,1,1
76,1,8,1,1,1
77,1,8,1,1,1
78,1,8,1,1,1
79,1,8,1,1,1
80,1,8,1,1,1
81,1,8,1,1,1
82,1,8,1,1,1
