trial,p,M,C,nguesses,prob
97,0.9,16,1,1,1
98,0.9,16,1,1,1
99,0.9,16,1,1,1
100,0.9,16,1,1,1
1,0.1,16,2,1,0
2,0.1,16,2,1,0.05030181086519115
3,0.1,16,2,1,0.09859154929577466
4,0.1,16,2,1,0.13883299798792756
5,0.1,16,2,1,0.17706237424547283
6,0.1,16,2,1,0.22233400402414488
7,0.1,16,2,1,0.2595573440643863
8,0.1,16,2,1,0.2977867203219316
9,0.1,16,2,1,0.33400402414486924
10,0.1,16,2,1,0.3641851106639839
11,0.1,16,2,1,0.3993963782696177
12,0.1,16,2,1,0.42655935613682094
13,0.1,16,2,1,0.45774647887323944
14,0.1,16,2,1,0.4859154929577465
15,0.1,16,2,1,0.5040241448692153
16,0.1,16,2,1,0.5271629778672032
17,0.1,16,2,1,0.5503018108651911
18,0.1,16,2,1,0.5744466800804829
19,0.1,16,2,1,0.596579476861167
20,0.1,16,2,1,0.6227364185110664
21,0.1,16,2,1,0.6408450704225352
22,0.1,16,2,1,0.6509054325955734
23,0.1,16,2,1,0.6670020120724346
24,0.1,16,2,1,0.6800804828973843
25,0.1,16,2,1,0.6981891348088531
26,0.1,16,2,1,0.7183098591549296
27,0.1,16,2,1,0.7334004024144869
28,0.1,16,2,1,0.7494969818913481
29,0.1,16,2,1,0.7625754527162978
30,0.1,16,2,1,0.7776659959758552
31,0.1,16,2,1,0.7847082494969819
32,0.1,16,2,1,0.7947686116700201
33,0.1,16,2,1,0.8018108651911469
34,0.1,16,2,1,0.8078470824949698
35,0.1,16,2,1,0.8128772635814889
36,0.1,16,2,1,0.8209255533199196
37,0.1,16,2,1,0.829979879275654
38,0.1,16,2,1,0.8390342052313884
39,0.1,16,2,1,0.8450704225352113
40,0.1,16,2,1,0.8531187122736419
41,0.1,16,2,1,0.8611670020120724
42,0.1,16,2,1,0.864185110663984
43,0.1,16,2,1,0.8742454728370221
44,0.1,16,2,1,0.8802816901408451
45,0.1,16,2,1,0.8903420523138833
46,0.1,16,2,1,0.8953722334004024
47,0.1,16,2,1,0.8993963782696177
48,0.1,16,2,1,0.9084507042253521
49,0.1,16,2,1,0.9185110663983903
50,0.1,16,2,1,0.920523138832998
51,0.1,16,2,1,0.9245472837022133
